structure,implementation,operation,n,ns_per_op,bytes_per_element
ArrayList,JDK,get(index),1000,60.719,19.967
ArrayList,My,get(index),1000,63.323,46.114
ArrayList,JDK,add-at-end,1000,78.179,19.967
ArrayList,My,add-at-end,1000,68.427,46.114
ArrayList,JDK,get(index),10000,60.079,19.900
ArrayList,My,get(index),10000,11.506,46.114
ArrayList,JDK,add-at-end,10000,16.902,19.900
ArrayList,My,add-at-end,10000,12.950,46.114
ArrayList,JDK,get(index),100000,9.583,19.900
ArrayList,My,get(index),100000,8.292,46.114
ArrayList,JDK,add-at-end,100000,19.090,19.900
ArrayList,My,add-at-end,100000,17.140,46.114
HashMap,JDK,put,1000,151.725,103.225
HashMap,My,put,1000,136.256,88.565
HashMap,JDK,get,1000,103.225,103.225
HashMap,My,get,1000,56.031,88.565
HashMap,JDK,put,10000,161.592,103.225
HashMap,My,put,10000,53.277,88.565
HashMap,JDK,get,10000,21.560,103.225
HashMap,My,get,10000,18.935,88.565
HashMap,JDK,put,100000,43.856,103.225
HashMap,My,put,100000,62.229,88.565
HashMap,JDK,get,100000,24.094,103.225
HashMap,My,get,100000,38.915,88.565
