structure,implementation,operation,n,ns_per_op,bytes_per_element
ArrayList,JDK,get(index),1000,62.356,20.972
ArrayList,My,get(index),1000,53.813,20.972
ArrayList,JDK,add-at-end,1000,48.296,20.972
ArrayList,My,add-at-end,1000,18.123,20.972
ArrayList,JDK,get(index),10000,8.602,0.000
ArrayList,My,get(index),10000,8.083,0.000
ArrayList,JDK,add-at-end,10000,8.632,0.000
ArrayList,My,add-at-end,10000,55.710,0.000
ArrayList,JDK,get(index),100000,3.575,0.000
ArrayList,My,get(index),100000,1.858,0.000
ArrayList,JDK,add-at-end,100000,6.891,0.000
ArrayList,My,add-at-end,100000,8.988,0.000
HashMap,JDK,put,1000,175.762,85.014
HashMap,My,put,1000,179.050,76.931
HashMap,JDK,get,1000,27.806,85.014
HashMap,My,get,1000,27.673,76.931
HashMap,JDK,put,10000,59.268,0.000
HashMap,My,put,10000,98.941,0.000
HashMap,JDK,get,10000,45.123,0.000
HashMap,My,get,10000,13.640,0.000
HashMap,JDK,put,100000,58.078,0.000
HashMap,My,put,100000,56.465,0.000
HashMap,JDK,get,100000,23.477,0.000
HashMap,My,get,100000,11.984,0.000
