structure,operation,n,ns_per_op
ArrayList,get(index),1000,48.896
ArrayList,add-at-end,1000,71.179
ArrayList,add-at-front,1000,494.400
ArrayList,contains,1000,495.750
ArrayList,get(index),10000,7.738
ArrayList,add-at-end,10000,15.638
ArrayList,add-at-front,10000,1221.504
ArrayList,contains,10000,5229.996
ArrayList,get(index),100000,50.554
ArrayList,add-at-end,100000,59.813
ArrayList,add-at-front,100000,10166.675
ArrayList,contains,100000,50043.333
LinkedList,get(index),1000,579.979
LinkedList,add-at-end,1000,67.438
LinkedList,add-at-front,1000,95.683
LinkedList,contains,1000,3998.929
LinkedList,get(index),10000,4732.125
LinkedList,add-at-end,10000,20.292
LinkedList,ArrayList,add-at-front,10000000,21400034.419
ArrayList,contains,10000000,6745836.248
LinkedList,get(index),1000,401.576
LinkedList,add-at-end,1000,197.650
LinkedList,add-at-front,1000,82.950
LinkedList,contains,1000,1974.966
LinkedList,get(index),10000,5019.140
LinkedList,add-at-end,10000,94.129
LinkedList,add-at-front,10000,197.117
LinkedList,contains,10000,20419.613
LinkedList,get(index),100000,45932.848
LinkedList,add-at-end,100000,26.848
LinkedList,add-at-front,100000,77.416
LinkedList,contains,100000,336645.257
LinkedList,get(index),1000000,-1.000
LinkedList,add-at-end,1000000,10.844
LinkedList,add-at-front,1000000,73.877
LinkedList,contains,1000000,3600937.838
LinkedList,get(index),10000000,-1.000
LinkedList,add-at-end,10000000,7.475
LinkedList,add-at-front,10000000,19.947
LinkedList,contains,10000000,29429822.672
ArrayDeque,offer (add-end),1000,69.478
ArrayDeque,add-at-front,1000,74.545
ArrayDeque,peek,1000,7.041
ArrayDeque,poll,1000,11.634
ArrayDeque,contains,1000,392.820
ArrayDeque,offer (add-end),10000,68.229
ArrayDeque,add-at-front,10000,161.241
ArrayDeque,peek,10000,0.041
ArrayDeque,poll,10000,5.686
ArrayDeque,contains,10000,4707.981
ArrayDeque,offer (add-end),100000,125.366
ArrayDeque,add-at-front,100000,30.529
ArrayDeque,peek,100000,0.041
ArrayDeque,poll,100000,15.817
ArrayDeque,contains,100000,45713.246
ArrayDeque,offer (add-end),1000000,17.091
ArrayDeque,add-at-front,1000000,21.489
ArrayDeque,peek,1000000,0.040
ArrayDeque,poll,1000000,15.836
Map,put,100000,237.300
TreeMap,get,100000,178.000
TreeMap,containsKey,100000,177.300
PriorityQueue,offer,1000,82.929
PriorityQueue,peek,1000,74.854
PriorityQueue,poll,1000,246.950
PriorityQueue,offer,10000,80.879
PriorityQueue,peek,10000,6.358
PriorityQueue,poll,10000,310.196
PriorityQueue,offer,100000,39.500
PriorityQueue,peek,100000,5.621
PriorityQueue,poll,100000,418.788
