structure,operation,n,ns_per_op
ArrayList,get(index),1000,50.263
ArrayList,add-at-end,1000,105.321
ArrayList,add-at-front,1000,556.379
ArrayList,contains,1000,494.383
ArrayList,get(index),10000,8.125
ArrayList,add-at-end,10000,15.700
ArrayList,add-at-front,10000,1261.725
ArrayList,contains,10000,5441.100
ArrayList,get(index),100000,47.000
ArrayList,add-at-end,100000,61.154
ArrayList,add-at-front,100000,10200.563
ArrayList,contains,100000,86039.179
LinkedList,get(index),1000,443.850
LinkedList,add-at-end,1000,68.613
LinkedList,add-at-front,1000,44.096
LinkedList,contains,1000,4504.058
LinkedList,get(index),10000,4785.008
LinkedList,add-at-end,10000,63.979
LinkedList,add-at-front,10000,80.075
LinkedList,contains,10000,21671.575
LinkedList,get(index),100000,9824.300
LinkedList,add-at-end,100000,36.642
LinkedList,add-at-front,100000,55.367
LinkedList,contains,100000,176518.892
ArrayDeque,offer (add-end),1000,80.025
ArrayDeque,add-at-front,1000,86.158
ArrayDeque,peek,1000,48.896
ArrayDeque,poll,1000,146.650
ArrayDeque,contains,1000,813.667
ArrayDeque,offer (add-end),10000,18.600
ArrayDeque,add-at-front,10000,22.525
ArrayDeque,peek,10000,6.967
ArrayDeque,poll,10000,21.442
ArrayDeque,contains,10000,5301.379
ArrayDeque,offer (add-end),100000,16.292
ArrayDeque,add-at-front,100000,18.488
ArrayDeque,peek,100000,7.571
ArrayDeque,poll,100000,59.758
ArrayDeque,contains,100000,105206.908
HashSet,add,1000,93.458
HashSet,contains,1000,72.600
HashSet,add,10000,91.325
HashSet,contains,10000,128.554
HashSet,add,100000,42.917
HashSet,contains,100000,26.675
TreeSet,add,1000,159.204
TreeSet,contains,1000,145.500
TreeSet,add,10000,578.675
TreeSet,contains,10000,253.279
TreeSet,add,100000,758.063
TreeSet,contains,100000,386.383
HashMap,put,1000,73.496
HashMap,get,1000,67.692
HashMap,containsKey,1000,57.008
HashMap,put,10000,79.083
HashMap,get,10000,70.117
HashMap,containsKey,10000,27.158
HashMap,put,100000,128.917
HashMap,get,100000,33.200
HashMap,containsKey,100000,28.983
TreeMap,put,1000,129.113
TreeMap,get,1000,124.054
TreeMap,containsKey,1000,112.783
TreeMap,put,10000,196.242
TreeMap,get,10000,141.892
TreeMap,containsKey,10000,174.713
TreeMap,put,100000,451.671
TreeMap,get,100000,590.346
TreeMap,containsKey,100000,425.338
PriorityQueue,offer,1000,81.933
PriorityQueue,peek,1000,41.925
PriorityQueue,poll,1000,250.517
PriorityQueue,offer,10000,83.808
PriorityQueue,peek,10000,43.254
PriorityQueue,poll,10000,298.163
PriorityQueue,offer,100000,40.921
PriorityQueue,peek,100000,5.654
PriorityQueue,poll,100000,528.863
